"name";"manufacturer"
"Džus Relax";"MASPEX Czech s.r.o."
"Džus Hello";"LINEA NIVNICE, a.s."
"Džus Pfanner";"Pfanner spol. s r.o."
"Džus Granini";"Mattoni 1873 a.s."
"Džus Cappy";"The Coca-Cola Company / Coca-Cola Česko"
"Džus Vitálka";"neuvedeno s jistotou"
"Džus Rauch Bravo";"RAUCH"
"Džus Kapito";"COOP (privátní značka; u některých džusů uváděn výrobce LINEA NIVNICE, a.s.)"
"Nektar Relax";"MASPEX Czech s.r.o."
"Nektar Granini";"Mattoni 1873 a.s."
"Nektar Hello";"LINEA NIVNICE, a.s."
"Nektar Happy Day Rauch";"RAUCH"
"Nektar Cappy";"The Coca-Cola Company / Coca-Cola Česko"
"Nektar Pfanner";"Pfanner spol. s r.o."
"Nektar Toma";"Mattoni 1873 a.s."
