"name";"manufacturer"
"Limonáda Coca Cola Zero";"Coca-Cola HBC Česko a Slovensko, s.r.o."
"Limonáda Coca Cola";"Coca-Cola HBC Česko a Slovensko, s.r.o."
"Kofola";"Kofola ČeskoSlovensko a.s."
"Limonáda Pepsi";"Mattoni 1873 a.s."
"RC Cola";"Kofola ČeskoSlovensko a.s."
"Cola Royal Crown";"Kofola ČeskoSlovensko a.s."
"Limonáda Coca Cola ochucená";"Coca-Cola HBC Česko a Slovensko, s.r.o."
"Limonáda Pepsi Zero Sugar";"Mattoni 1873 a.s."
"Limonády Pepsi";"Mattoni 1873 a.s."
"Limonáda Dr. Pepper";"Kofola ČeskoSlovensko a.s."
"Limonáda Twist Pepsi";"Mattoni 1873 a.s."
"Limonáda Koli";"Sodovkárna Kolín, s.r.o."
"Limonáda Poctivá kola Poděbradka - sud";"Mattoni 1873 a.s."
"Kofola Nulka bez cukru";"Kofola ČeskoSlovensko a.s."
