"name";"manufacturer"
"Ledový čaj Nestea";"Nestlé / Nestlé Česko"
"Ledový čaj Lipton";"Mattoni 1873 (KMV BEV CZ s.r.o.)"
"Ledový čaj Aquila";"Mattoni 1873"
"Ledový čaj Fuzetea";"The Coca-Cola Company / Coca-Cola HBC Česko a Slovensko"
"Ledový čaj Lipton";"Mattoni 1873 (KMV BEV CZ s.r.o.)"
"Ledový čaj Pfanner";"PFANNER, spol. s r.o."
"Ledový čaj My Tea Rauch";"RAUCH Praha, spol. s r.o."
"Ledový čaj Popstar";"MIKE ROFT, s.r.o."
"Ledový čaj Ice Tea Big Shock";"Big Shock s.r.o."
"Ledový čaj Karlova Koruna";"Penny Market s.r.o."
"Ledový čaj Nature's Promise";"Albert Česká republika, s.r.o."
"Ledový čaj Pure Pfanner";"PFANNER, spol. s r.o."
