name;shop;price;amount;validity
Přírodní voda De Montage;Ratio;5,90 Kč;0.5 l;platí do čtvrtka 30. 4.
Limonáda Coca Cola;Ratio;33,90 Kč;2 l;platí do čtvrtka 30. 4.
Limonáda Coca Cola;BILLA;36,90 Kč;2 l;platí do úterý 28. 4.
Limonáda Coca Cola Zero;Ratio;33,90 Kč;2 l;platí do čtvrtka 30. 4.
Kofola;Albert;19,90 Kč;2 l;platí do úterý 28. 4.
Kofola;Tesco;26,90 Kč;2 l;platí do úterý 28. 4.
Přírodní voda Magnesia;Albert hypermarket;14,90 Kč;1.5 l;platí do úterý 28. 4.
Přírodní voda Magnesia;Tesco;14,90 Kč;1.5 l;platí do úterý 28. 4.
Limonáda Pepsi;Tesco;29,90 Kč;2.25 l;platí do úterý 28. 4.
Limonáda Pepsi;Albert;26,90 Kč;1.5 l;platí do úterý 28. 4.
Sirup YO;Kaufland;54,90 Kč;0.7 l;platí do úterý 28. 4.
Sirup YO;FLOP TOP;59,90 Kč;0.7 l;platí do úterý 28. 4.
Sirup YO;BILLA;59,90 Kč;0.7 l;platí do úterý 28. 4.
Sirup YO;BENE NÁPOJE;62,90 Kč;0.7 l;platí do čtvrtka 30. 4.
Sirup YO;Ratio;62,90 Kč;0.7 l;platí do čtvrtka 30. 4.
Sirup YO;FLOP TOP;69,90 Kč;0.7 l;platí do úterý 28. 4.
Sirup YO;BILLA;94,90 Kč;0.7 l;platí do úterý 28. 4.
Džus Relax;Lidl;24,90 Kč;1 l;čt 23. 4. – ne 26. 4.
Džus Relax;Lidl;29,90 Kč;1 l;čt 23. 4. – ne 26. 4.
Džus Relax;Kaufland;29,90 Kč;1 l;platí do úterý 28. 4.
Džus Relax;Ratio;37,90 Kč;1 l;platí do čtvrtka 30. 4.
Džus Relax;Ratio;38,50 Kč;1 l;platí do čtvrtka 30. 4.
Sirup Jupí;Albert supermarket;29,90 Kč;0.7 l;platí do úterý 5. 5.
Sirup Jupí;Tesco;39,90 Kč;0.7 l;platí do úterý 28. 4.
Ochucená voda Dobrá voda;Albert hypermarket;9,90 Kč;1.5 l;platí do úterý 28. 4.
Ochucená voda Mattoni;Albert supermarket;14,90 Kč;1.5 l;platí do úterý 5. 5.
Ochucená voda Mattoni;Tesco;16,90 Kč;0.5 l;platí do úterý 28. 4.
